image,mask,label,split
dataset/ripe/images/riped_tomato_11.jpeg,dataset/ripe/masks/riped_tomato_11_mask.png,ripe,development
dataset/ripe/images/riped_tomato_12.jpeg,dataset/ripe/masks/riped_tomato_12_mask.png,ripe,development
dataset/ripe/images/riped_tomato_13.jpeg,dataset/ripe/masks/riped_tomato_13_mask.png,ripe,development
dataset/ripe/images/riped_tomato_14.jpeg,dataset/ripe/masks/riped_tomato_14_mask.png,ripe,development
dataset/ripe/images/riped_tomato_15.jpeg,dataset/ripe/masks/riped_tomato_15_mask.png,ripe,development
dataset/ripe/images/riped_tomato_16.jpeg,dataset/ripe/masks/riped_tomato_16_mask.png,ripe,development
dataset/ripe/images/riped_tomato_22.jpeg,dataset/ripe/masks/riped_tomato_22_mask.png,ripe,development
dataset/ripe/images/riped_tomato_25.jpeg,dataset/ripe/masks/riped_tomato_25_mask.png,ripe,development
dataset/ripe/images/riped_tomato_29.jpeg,dataset/ripe/masks/riped_tomato_29_mask.png,ripe,development
dataset/ripe/images/riped_tomato_3.jpeg,dataset/ripe/masks/riped_tomato_3_mask.png,ripe,development
dataset/ripe/images/riped_tomato_31.jpeg,dataset/ripe/masks/riped_tomato_31_mask.png,ripe,development
dataset/ripe/images/riped_tomato_4.jpeg,dataset/ripe/masks/riped_tomato_4_mask.png,ripe,development
dataset/ripe/images/riped_tomato_40.jpeg,dataset/ripe/masks/riped_tomato_40_mask.png,ripe,development
dataset/ripe/images/riped_tomato_42.jpeg,dataset/ripe/masks/riped_tomato_42_mask.png,ripe,development
dataset/ripe/images/riped_tomato_45.jpeg,dataset/ripe/masks/riped_tomato_45_mask.png,ripe,development
dataset/ripe/images/riped_tomato_6.jpeg,dataset/ripe/masks/riped_tomato_6_mask.png,ripe,development
dataset/ripe/images/riped_tomato_7.jpeg,dataset/ripe/masks/riped_tomato_7_mask.png,ripe,development
dataset/ripe/images/riped_tomato_73.jpeg,dataset/ripe/masks/riped_tomato_73_mask.png,ripe,development
dataset/ripe/images/riped_tomato_78.jpeg,dataset/ripe/masks/riped_tomato_78_mask.png,ripe,development
dataset/ripe/images/riped_tomato_8.jpeg,dataset/ripe/masks/riped_tomato_8_mask.png,ripe,development
dataset/ripe/images/riped_tomato_80.jpeg,dataset/ripe/masks/riped_tomato_80_mask.png,ripe,development
dataset/ripe/images/riped_tomato_82.jpeg,dataset/ripe/masks/riped_tomato_82_mask.png,ripe,development
dataset/ripe/images/riped_tomato_9.jpeg,dataset/ripe/masks/riped_tomato_9_mask.png,ripe,development
dataset/ripe/images/riped_tomato_97.jpeg,dataset/ripe/masks/riped_tomato_97_mask.png,ripe,development
dataset/unripe/images/riped_tomato_10.jpeg,dataset/unripe/masks/riped_tomato_10_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_1.jpeg,dataset/unripe/masks/unriped_tomato_1_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_11.jpeg,dataset/unripe/masks/unriped_tomato_11_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_12.jpeg,dataset/unripe/masks/unriped_tomato_12_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_14.jpeg,dataset/unripe/masks/unriped_tomato_14_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_15.jpeg,dataset/unripe/masks/unriped_tomato_15_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_17.jpeg,dataset/unripe/masks/unriped_tomato_17_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_2.jpeg,dataset/unripe/masks/unriped_tomato_2_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_25.jpeg,dataset/unripe/masks/unriped_tomato_25_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_3.jpeg,dataset/unripe/masks/unriped_tomato_3_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_31.jpeg,dataset/unripe/masks/unriped_tomato_31_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_34.jpeg,dataset/unripe/masks/unriped_tomato_34_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_35.jpeg,dataset/unripe/masks/unriped_tomato_35_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_48.jpeg,dataset/unripe/masks/unriped_tomato_48_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_51.jpeg,dataset/unripe/masks/unriped_tomato_51_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_54.jpeg,dataset/unripe/masks/unriped_tomato_54_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_55.jpeg,dataset/unripe/masks/unriped_tomato_55_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_58.jpeg,dataset/unripe/masks/unriped_tomato_58_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_6.jpeg,dataset/unripe/masks/unriped_tomato_6_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_61.jpeg,dataset/unripe/masks/unriped_tomato_61_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_62.jpeg,dataset/unripe/masks/unriped_tomato_62_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_64.jpeg,dataset/unripe/masks/unriped_tomato_64_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_65.jpeg,dataset/unripe/masks/unriped_tomato_65_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_74.jpeg,dataset/unripe/masks/unriped_tomato_74_mask.png,unripe,development
dataset/unripe/images/unriped_tomato_9.jpeg,dataset/unripe/masks/unriped_tomato_9_mask.png,unripe,development
dataset/ripe/images/riped_tomato_20.jpeg,dataset/ripe/masks/riped_tomato_20_mask.png,ripe,test
dataset/ripe/images/riped_tomato_21.jpeg,dataset/ripe/masks/riped_tomato_21_mask.png,ripe,test
dataset/ripe/images/riped_tomato_28.jpeg,dataset/ripe/masks/riped_tomato_28_mask.png,ripe,test
dataset/ripe/images/riped_tomato_33.jpeg,dataset/ripe/masks/riped_tomato_33_mask.png,ripe,test
dataset/ripe/images/riped_tomato_46.jpeg,dataset/ripe/masks/riped_tomato_46_mask.png,ripe,test
dataset/ripe/images/riped_tomato_52.jpeg,dataset/ripe/masks/riped_tomato_52_mask.png,ripe,test
dataset/ripe/images/riped_tomato_83.jpeg,dataset/ripe/masks/riped_tomato_83_mask.png,ripe,test
dataset/unripe/images/unriped_tomato_27.jpeg,dataset/unripe/masks/unriped_tomato_27_mask.png,unripe,test
dataset/unripe/images/unriped_tomato_4.jpeg,dataset/unripe/masks/unriped_tomato_4_mask.png,unripe,test
dataset/unripe/images/unriped_tomato_43.jpeg,dataset/unripe/masks/unriped_tomato_43_mask.png,unripe,test
dataset/unripe/images/unriped_tomato_7.jpeg,dataset/unripe/masks/unriped_tomato_7_mask.png,unripe,test
dataset/unripe/images/unriped_tomato_72.jpeg,dataset/unripe/masks/unriped_tomato_72_mask.png,unripe,test
dataset/unripe/images/unriped_tomato_8.jpeg,dataset/unripe/masks/unriped_tomato_8_mask.png,unripe,test
